filename,food_type
1dbaa9de-dbb6-11e8-840e-fa00c4a9e605.jpg,apple_pie
1dbe160a-dbb6-11e8-8c22-fa00c4a9e605.jpg,apple_pie
1dbe51cc-dbb6-11e8-977b-fa00c4a9e605.jpg,apple_pie
1dbe8482-dbb6-11e8-8b6a-fa00c4a9e605.jpg,apple_pie
1dbeefb4-dbb6-11e8-9d47-fa00c4a9e605.jpg,apple_pie
1dbf4234-dbb6-11e8-bc14-fa00c4a9e605.jpg,apple_pie
1dbf97a8-dbb6-11e8-b601-fa00c4a9e605.jpg,apple_pie
1dbfff62-dbb6-11e8-aef3-fa00c4a9e605.jpg,apple_pie
1dc05186-dbb6-11e8-96c5-fa00c4a9e605.jpg,apple_pie
1dc0b19e-dbb6-11e8-80e2-fa00c4a9e605.jpg,apple_pie
1dc0f462-dbb6-11e8-a3c0-fa00c4a9e605.jpg,apple_pie
1dc1243a-dbb6-11e8-a63a-fa00c4a9e605.jpg,apple_pie
1dc16b66-dbb6-11e8-ac6a-fa00c4a9e605.jpg,apple_pie
1dc1b11e-dbb6-11e8-8821-fa00c4a9e605.jpg,apple_pie
1dc21a66-dbb6-11e8-b1b7-fa00c4a9e605.jpg,apple_pie
1dc25d0a-dbb6-11e8-bdfa-fa00c4a9e605.jpg,apple_pie
1dc29b80-dbb6-11e8-825a-fa00c4a9e605.jpg,apple_pie
1dc2db2c-dbb6-11e8-93f9-fa00c4a9e605.jpg,apple_pie
1dc31a92-dbb6-11e8-90d6-fa00c4a9e605.jpg,apple_pie
1dc35018-dbb6-11e8-af50-fa00c4a9e605.jpg,apple_pie
1dc38522-dbb6-11e8-8350-fa00c4a9e605.jpg,apple_pie
1dc3cbe8-dbb6-11e8-b249-fa00c4a9e605.jpg,apple_pie
1dc3fc82-dbb6-11e8-aa37-fa00c4a9e605.jpg,apple_pie
1dc4381e-dbb6-11e8-9ada-fa00c4a9e605.jpg,apple_pie
1dc45be6-dbb6-11e8-9ac6-fa00c4a9e605.jpg,apple_pie
1dc48fc6-dbb6-11e8-b52c-fa00c4a9e605.jpg,apple_pie
1dc4bda2-dbb6-11e8-8334-fa00c4a9e605.jpg,apple_pie
1dc4edfe-dbb6-11e8-8387-fa00c4a9e605.jpg,apple_pie
1dc5323a-dbb6-11e8-a76a-fa00c4a9e605.jpg,apple_pie
1dc576de-dbb6-11e8-ac0f-fa00c4a9e605.jpg,apple_pie
1dc5a17a-dbb6-11e8-a409-fa00c4a9e605.jpg,apple_pie
1dc5c5e4-dbb6-11e8-a66f-fa00c4a9e605.jpg,apple_pie
1dc5f5a8-dbb6-11e8-b198-fa00c4a9e605.jpg,apple_pie
1dc62674-dbb6-11e8-bab7-fa00c4a9e605.jpg,apple_pie
1dc64f6e-dbb6-11e8-96ca-fa00c4a9e605.jpg,apple_pie
1dc67f5c-dbb6-11e8-b05e-fa00c4a9e605.jpg,apple_pie
1dc6c71e-dbb6-11e8-988d-fa00c4a9e605.jpg,apple_pie
1dc6f1b4-dbb6-11e8-b2ef-fa00c4a9e605.jpg,apple_pie
1dc7367a-dbb6-11e8-be80-fa00c4a9e605.jpg,apple_pie
1dc7634a-dbb6-11e8-95f0-fa00c4a9e605.jpg,apple_pie
1dc78fe6-dbb6-11e8-a100-fa00c4a9e605.jpg,apple_pie
1dc7bb38-dbb6-11e8-bdb2-fa00c4a9e605.jpg,apple_pie
